model,window,regime,split,wheel,state,bin_kind,bin_center,n,rmse_norm,rmse_phys,batch,fold
ssm,32,S1_train,same_subset,4,zy,wz,12.0,7618,0.13511798222220686,2.814392149256053e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zy,wz,24.0,921,0.15056825580397173,3.13620814774889e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,omega_z_derived,wz,0.5,77254,0.023135333902090698,0.20837326648725882,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,omega_z_derived,wz,1.5,16087,0.050513958616344494,0.45496462703476964,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,omega_z_derived,wz,3.0,16571,0.061182928606863946,0.5510569564728206,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,omega_z_derived,wz,6.0,15308,0.08442838277270226,0.7604220443515715,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,omega_z_derived,wz,12.0,7618,0.12901893335714587,1.162036247071418,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,omega_z_derived,wz,24.0,921,0.12189257980867778,1.0978512401326093,b4096_ep100,S1
ssm,32,S1_train,cross_subset,1,gamma,overall,,1396107,0.05602888625772307,4.639555427780893,b4096_ep100,S1
ssm,32,S1_train,cross_subset,1,zx,overall,,1396107,0.0467518863166773,1.4318851089559064e-05,b4096_ep100,S1
ssm,32,S1_train,cross_subset,1,zy,overall,,1396107,0.1045547278826423,2.1777856901446693e-05,b4096_ep100,S1
ssm,32,S1_train,cross_subset,1,omega_z_derived,overall,,1396107,0.054913639687867694,0.4945912829652729,b4096_ep100,S1
ssm,32,S1_train,cross_subset,2,gamma,overall,,1396107,0.0664702433697795,5.504167444310308,b4096_ep100,S1
ssm,32,S1_train,cross_subset,2,zx,overall,,1396107,0.07000223851193313,2.1439812143624364e-05,b4096_ep100,S1
ssm,32,S1_train,cross_subset,2,zy,overall,,1396107,0.10479964328981084,2.182887088971952e-05,b4096_ep100,S1
ssm,32,S1_train,cross_subset,2,omega_z_derived,overall,,1396107,0.06544863160424763,0.5894769106083861,b4096_ep100,S1
ssm,32,S1_train,cross_subset,3,gamma,overall,,1396107,0.06672219406734133,5.525030730552087,b4096_ep100,S1
ssm,32,S1_train,cross_subset,3,zx,overall,,1396107,0.06376268703810117,1.9528803786269172e-05,b4096_ep100,S1
ssm,32,S1_train,cross_subset,3,zy,overall,,1396107,0.11167206587580901,2.326033769986239e-05,b4096_ep100,S1
ssm,32,S1_train,cross_subset,3,omega_z_derived,overall,,1396107,0.06682118821988625,0.6018391313850421,b4096_ep100,S1
ssm,32,S1_train,cross_subset,4,gamma,overall,,1396107,0.05898063832861245,4.883979600099149,b4096_ep100,S1
ssm,32,S1_train,cross_subset,4,zx,overall,,1396107,0.045506063979408096,1.3937289147624362e-05,b4096_ep100,S1
ssm,32,S1_train,cross_subset,4,zy,overall,,1396107,0.09854950023178602,2.0527019453310943e-05,b4096_ep100,S1
ssm,32,S1_train,cross_subset,4,omega_z_derived,overall,,1396107,0.057966885773623536,0.5220909880903781,b4096_ep100,S1
ssm,32,S1_train,cross_subset,1,gamma,slip,0.005,324196,0.05101089227542449,4.224032841475111,b4096_ep100,S1
ssm,32,S1_train,cross_subset,1,gamma,slip,0.02,360194,0.044144239529128944,3.655429444090993,b4096_ep100,S1
ssm,32,S1_train,cross_subset,1,gamma,slip,0.065,577172,0.048328313138128465,4.001897881613644,b4096_ep100,S1
ssm,32,S1_train,cross_subset,1,gamma,slip,0.2,109314,0.09902833181979663,8.200188371548409,b4096_ep100,S1
ssm,32,S1_train,cross_subset,1,gamma,slip,0.65,22193,0.10785568034390114,8.93115010758272,b4096_ep100,S1
