stratum,quantity,bin_center,n,meas_rms,roller_rms,total_rms,roller_mag_frac,body_mag_frac,yaw_mag_frac,wheel_mag_frac,roller_energy_frac,meas_energy_frac,roller_over_total_median,meas_roller_align
0.5<=psi<2,Vp_perp,0.16874999999999998,338354,1.1419187837917524,0.9860211213232545,0.16796786863165142,0.45234610654871094,0.221024855738931,0.027484898995718293,0.29914413871663975,34.46037610383347,46.21873033345792,0.455,-0.9982640868773526
0.5<=psi<2,Vp_perp,0.20625000000000002,238455,1.194187336246028,1.0029835286807784,0.2051167109919524,0.4448812998505368,0.21406053941993344,0.025523569663074324,0.31553459106645537,23.910326899313628,33.89556165729289,0.445,-0.9976981974330322
0.5<=psi<2,Vp_perp,0.24375000000000002,180511,1.2942844607360269,1.0647228589065962,0.2441387804621539,0.4381017050069608,0.17286451345287385,0.02304649639000394,0.36598728515016155,19.019522731497823,28.105151612190816,0.445,-0.9974945779222134
0.5<=psi<2,Vp_perp,0.28125,2594368,1.8776677114810307,1.1119668110613667,0.8693053393852749,0.36737252965627626,0.14759597293493446,0.016070471345771796,0.46896102606301754,1.6362096729680238,4.665441864414329,0.385,-0.9594344639911193
psi>=2,Vp_perp,-0.28125,1034553,0.9583196561238821,0.624449995004326,0.34231899721023495,0.3908367746765895,0.013227025320001447,0.09034870729724061,0.5055874927061684,3.3276169700297413,7.837161378720293,0.405,-0.9952263298232414
psi>=2,Vp_perp,-0.24375,826554,0.9044089000251004,0.6631038928944599,0.24267152902518171,0.41819966362998384,0.01152602879217319,0.09313289329025365,0.4771414142875894,7.466644975909546,13.889672373736783,0.425,-0.9994486028707578
psi>=2,Vp_perp,-0.20625,1186755,0.913246256318655,0.7103707396925679,0.20553928723796983,0.43150695590999916,0.011946475888248877,0.09344817959768227,0.46309838860406966,11.944842745288113,19.741770952133756,0.435,-0.9991615149219528
psi>=2,Vp_perp,-0.16875,1875529,0.9526711246566847,0.7890543368169558,0.16708607095287556,0.4468418055927036,0.010803226401522066,0.09297970934437023,0.44937525866140404,22.301461706903844,32.50914223917376,0.445,-0.9992368713076765
psi>=2,Vp_perp,-0.13124999999999998,3590081,1.003072436198958,0.8769116809282593,0.1297007544417718,0.46070675185035403,0.010142713720847204,0.0925521315493927,0.43659840287940604,45.71162978298738,59.81079682273788,0.465,-0.9994851390292521
psi>=2,Vp_perp,-0.09375,7646934,1.062834391237449,0.9738226590382439,0.0918378785687168,0.4728633460716038,0.009581916054978847,0.09108138532902887,0.4264733525443885,112.43876452508042,133.93297372182715,0.475,-0.9997530910918317
psi>=2,Vp_perp,-0.056249999999999994,16119064,1.078827897676096,1.0258781910076684,0.055247558931423656,0.4823295948624886,0.00929619290112114,0.08998116783459491,0.4183930444017954,344.798531077918,381.30995986082,0.485,-0.9998876791382605
