dataset,scheme,channel,stratum,vcod_center,wz_center,n,channel_rms,N_bar,mu_bar,wz_bar,A_dF_dmu,abs_A,B_intercept,C_a,C_b,R2_form,R2_form_a,R2_form_b,partial_R2_chi_a,partial_R2_chi_b,chi_swing_a,chi_swing_b
full,binned,Fpar,trans,0.01874999999999999,11.25,1955295,25.936009734378207,92.37970863829571,0.743170467883365,11.066175211299624,-15.797474256065135,15.797474256065135,1.808179282124058,0.04927790324615757,,0.07884548940394032,0.08279709320359196,,0.0042898381913090994,,5.412990123174626,
full,binned,Fpar,trans,0.01874999999999999,13.75,649652,29.609758140729966,95.49062318195601,0.7617256623546116,13.544710595991523,-32.036229459180845,32.036229459180845,14.17561149178995,0.06992699270154121,,0.08442764993000063,0.0912206853053843,,0.0074194413744193746,,8.138121109622869,
full,binned,Fpar,trans,0.01874999999999999,16.25,264294,32.38176863591206,96.72661494187048,0.7808338441281293,16.076177641191727,-43.29659914478452,43.29659914478452,50.96260738842837,0.00626448664734733,,0.06695803338417405,0.06700016825811594,,4.515860534625276e-05,,0.7570247681776163,
full,binned,Fpar,trans,0.01874999999999999,18.75,162530,36.905514516554106,97.20234270439117,0.7991509259829006,19.476409521514427,-15.482612224399706,15.482612224399706,3.8023627697112814,0.13913160216629822,,0.05369273546509301,0.06879239672244031,,0.015956404249700563,,17.292242132346527,
full,binned,Fpar,gross,-0.28125,1.25,4417333,29.95465891810503,79.77158151211613,0.4603465937478502,1.2508113149246658,58.64417525856851,58.64417525856851,-0.10532533137270049,0.0012025269058160125,-0.0018991768453920043,0.9923947914249134,0.9924000857630009,0.9924394318413652,0.0006961463364478986,0.005869716262356605,0.0706558167725026,0.13957586465243862
full,binned,Fpar,gross,-0.28125,3.75,4423311,29.239070865027003,79.66148511910193,0.4598174534867597,3.749796944224736,57.209708214765605,57.209708214765605,-0.05590989271732592,-0.008028756543411722,-0.0022882267435296415,0.9919372027745154,0.9921802419188932,0.9922511740863047,0.03014327876306555,0.038940742649078805,0.47054603931409045,0.5028756896335735
full,binned,Fpar,gross,-0.28125,6.25,3948286,29.618946239055308,80.58060818364692,0.4777244353625826,6.161192382345838,56.48822267024248,56.48822267024248,-0.046690607416342615,-0.01587091061475531,-0.0026453875564976205,0.9908640224053311,0.9918929740148695,0.9920198903323451,0.11262632803946593,0.1265182532505812,0.9775293933148964,1.0038805859883415
full,binned,Fpar,gross,-0.28125,8.75,2441286,34.09255986487369,80.84036980915599,0.5835496947100794,8.665175119283575,55.844032149356096,55.844032149356096,-0.5235565421942759,-0.023272597719216012,-0.002671637703529882,0.9853662249596397,0.9893130746283036,0.9894235571252228,0.2697082371280478,0.27725806597360814,1.7565923333334617,1.747354522078464
full,binned,Fpar,gross,-0.28125,11.25,1734509,36.524027915903915,80.81640536578152,0.6458680813994018,11.11450207428969,54.08066841491273,54.08066841491273,-0.4483302505136819,-0.030026344786522195,-0.0027205563782946407,0.9758914526179101,0.9856911923270568,0.9860677903001761,0.40648403878646366,0.42210497053115603,2.507643539617244,2.5252889365198214
full,binned,Fpar,gross,-0.28125,13.75,1017476,40.59272974938294,81.76382679350979,0.7433692784891173,13.639894505022488,55.058693085167405,55.058693085167405,-1.9853648897763803,-0.03539206125317486,-0.0025880808161306917,0.9430976726153211,0.9754748850661554,0.9758317341156381,0.5689962772867534,0.5752675330663323,3.441847770557538,3.4330066608938283
