stratum,channel,wz_center,n,F,partial_R2_chi,slope_dF_dchi,chi_swing_abs,channel_rms,rel_swing
psi>=2,Mz,4.375,1495691,2.2153761239777827,2.962355691147663e-06,-0.015733420108155885,9.85228481364092e-05,0.021833041897219085,0.004512557095809826
psi>=2,Mz,5.625,1492881,43.58795594402446,5.839139588408262e-05,-0.034651585807879526,0.0005135511477964794,0.025884309742990594,0.019840248895783195
psi>=2,Mz,6.875,1495717,58.270711842784365,7.791121108753754e-05,-0.04347721250339977,0.0006582998531422468,0.028687229348149566,0.022947488067010195
psi>=2,Mz,8.125,1490833,52.27968654443306,7.013041809545171e-05,-0.056087021369423846,0.0006731497980010246,0.030556250436864597,0.022029856031972522
psi>=2,Mz,9.375,1301093,9.682286470661586,1.488320478741054e-05,-0.11642488597623281,0.0002893840401522325,0.03300739197120024,0.008767249481713889
psi>=2,Mz,10.625,924446,634.8632006610994,0.0013716307084523027,-0.04217513238135459,0.00313528908947803,0.033121110715618685,0.09466135107599348
psi>=2,Mz,11.875,737081,691.8829523974996,0.001873866848295757,-0.23975992907073596,0.003898536803959622,0.03331300559802351,0.11702747122255835
psi>=2,Mz,13.125,675596,661.6923895756778,0.0019550397865781156,-0.17352648041282293,0.004100070556244848,0.03336082828065081,0.12290074220437978
psi>=2,Mz,14.375,593207,1011.2248880825781,0.0033978220586133516,0.03942197377128619,0.005667602242815071,0.03526629936634274,0.16070873169709682
psi>=2,Mz,15.625,378036,31.930443194896572,0.0001689039908133965,-0.5668789774556557,0.0010168040823877052,0.040165668902701714,0.025315253303781295
psi>=2,Mz,16.875,123387,52.87133929488555,0.0008563356813753817,1.3175311104524428,0.0003276004292445695,0.04014977419467258,0.00815945882176439
psi>=2,Mz,18.125,8982,2915.2797255472788,0.39386199449913056,8.71081075402582,0.09131609735056079,0.026114181477559117,3.4968010553588322
