t,Xo,Yo,Vx,Vy,Vx_des,Vy_des
23.66,-2.755370533696438,4.337283326458559,-0.5532164141989997,-0.31808448698729225,-0.5528435838395417,-0.3191843919495166
23.68,-2.766272187732532,4.33101781820905,-0.5357928788796289,-0.30821996156080284,-0.5362929914730284,-0.3096289029914624
23.7,-2.7768240196043306,4.324931298514319,-0.5193162493429792,-0.29904050505690427,-0.5189935707150175,-0.2996410777600002
23.72,-2.7870401659733717,4.319066470842324,-0.5022650658367313,-0.2885809525381026,-0.5010080127051855,-0.28925711100149804
23.740000000000002,-2.7968758987328197,4.31341022041232,-0.48253478596920035,-0.2765561100248411,-0.4824035853742124,-0.27851583987384193
23.76,-2.8063626685690344,4.307978768737001,-0.46322086131999785,-0.26632735810817243,-0.4632516103819665,-0.26745844195655577
23.78,-2.8154208329762094,4.302763752709427,-0.4452885828826036,-0.2552579907906631,-0.44362694005565395,-0.25612813326090156
23.8,-2.8241095914703833,4.297775859416004,-0.4218908452307939,-0.24352005863751902,-0.4236074343280036,-0.2445698662399994
23.82,-2.832385100298356,4.293008998970419,-0.4052825645022211,-0.2327976861496431,-0.4032734376754339,-0.23283002779893733
23.84,-2.8402358729475976,4.288480375130719,-0.38167788410158615,-0.2203503787744386,-0.382707256056223,-0.22095613730488325
23.86,-2.847710576168955,4.284186675051295,-0.36253139715451704,-0.20840602074937242,-0.36199263384868025,-0.20899654459719702
23.88,-2.854724884115366,4.280139274249596,-0.3422552158301924,-0.19642748240728572,-0.3412142307893166,-0.19700012799754288
23.900000000000002,-2.8613672558804337,4.276333691908391,-0.3196379536898261,-0.1839193268355854,-0.32045709891101093,-0.18501599231999855
23.92,-2.8675620131539117,4.272767091592557,-0.301307726154529,-0.1726546514059324,-0.29980615948119643,-0.1730931668811765
23.94,-2.8733604723602673,4.269431692768561,-0.27849643210650543,-0.1611387415055885,-0.2793456799400079,-0.1612803035103225
23.96,-2.878752580871198,4.266328032002021,-0.26010858817919214,-0.14899368054363582,-0.2591587508384675,-0.14962537455943625
23.98,-2.883735331298197,4.2634583922366565,-0.23906765991412315,-0.13786380985044153,-0.23932676277665274,-0.13817537091338206
24.0,-2.8883348717137753,4.260817186422464,-0.22050630070932783,-0.1272442384205069,-0.21992888334186578,-0.1269759999999999
24.02,-2.8925418503982128,4.258380921711982,-0.2007623073229768,-0.11542483241610636,-0.20104153404680442,-0.11607138380021775
